Event,Season,Sex,Medal,sno,ID,Age,Height,Weight,Year
Snowboarding Women's Slopestyle,Winter,F,Bronze,110114.0,55681.0,33.0,161.0,61.0,2014.0
Softball Women's Softball,Summer,F,Bronze,163990.0,82308.0,27.0,170.0,67.0,2000.0
"Speed Skating Women's 1,000 metres",Winter,F,Bronze,134122.0,67528.0,25.0,167.0,63.0,1988.0
"Speed Skating Women's 1,500 metres",Winter,F,Bronze,179340.0,90130.0,26.0,167.5,60.5,1990.0
"Speed Skating Women's 3,000 metres",Winter,F,Bronze,118612.5,60020.5,26.0,167.0,60.5,1990.0
"Speed Skating Women's 5,000 metres",Winter,F,Bronze,152475.0,76836.0,27.5,169.5,60.5,2000.0
Speed Skating Women's 500 metres,Winter,F,Bronze,198942.0,99917.0,25.0,173.0,64.0,1992.0
Speed Skating Women's Team Pursuit (6 laps),Winter,F,Bronze,179935.5,90341.5,28.0,170.0,64.0,2010.0
Swimming Women's 10 kilometres Open Water,Summer,F,Bronze,175986.0,88461.0,23.0,172.0,65.0,2012.0
Swimming Women's 100 metres Backstroke,Summer,F,Bronze,148036.0,74295.0,20.0,173.0,63.0,1988.0
Swimming Women's 100 metres Breaststroke,Summer,F,Bronze,171245.0,86060.0,21.0,168.0,61.0,1992.0
Swimming Women's 100 metres Butterfly,Summer,F,Bronze,170624.5,85667.5,21.0,170.0,61.0,1986.0
Swimming Women's 100 metres Freestyle,Summer,F,Bronze,151164.0,75867.0,19.0,174.0,66.0,1988.0
Swimming Women's 200 metres Backstroke,Summer,F,Bronze,154368.0,77535.0,20.5,171.5,65.0,1994.0
Swimming Women's 200 metres Breaststroke,Summer,F,Bronze,168028.0,84420.0,19.0,170.0,64.0,1988.0
Swimming Women's 200 metres Butterfly,Summer,F,Bronze,125244.0,63199.0,21.0,170.0,60.0,1992.0
Swimming Women's 200 metres Freestyle,Summer,F,Bronze,154867.0,77716.0,22.0,178.0,64.0,1992.0
Swimming Women's 200 metres Individual Medley,Summer,F,Bronze,137531.0,69134.0,21.0,175.0,64.0,1996.0
Swimming Women's 4 x 100 metres Freestyle Relay,Summer,F,Bronze,178849.5,89893.0,20.0,175.0,65.0,1992.0
Swimming Women's 4 x 100 metres Medley Relay,Summer,F,Bronze,156779.5,78728.0,18.0,172.5,62.0,1984.0
Swimming Women's 4 x 200 metres Freestyle Relay,Summer,F,Bronze,125828.0,63507.0,21.5,178.5,66.0,2008.0
Swimming Women's 400 metres Freestyle,Summer,F,Bronze,190861.0,95868.0,19.0,173.0,64.0,1984.0
Swimming Women's 400 metres Individual Medley,Summer,F,Bronze,98955.0,50063.5,18.0,170.0,57.0,1990.0
Swimming Women's 50 metres Freestyle,Summer,F,Bronze,155936.0,78299.0,25.0,180.0,68.0,2000.0
Swimming Women's 800 metres Freestyle,Summer,F,Bronze,113134.0,57315.0,18.0,171.0,60.0,1992.0
Synchronized Swimming Women's Duet,Summer,F,Bronze,132544.0,66703.5,22.0,167.0,54.0,2002.0
Synchronized Swimming Women's Solo,Summer,F,Bronze,164379.0,82521.0,22.0,163.0,51.0,1988.0
Synchronized Swimming Women's Team,Summer,F,Bronze,131721.5,66317.5,22.0,167.0,55.0,2004.0
Table Tennis Women's Doubles,Summer,F,Bronze,118848.0,60156.0,22.0,165.0,55.0,1996.0
Table Tennis Women's Singles,Summer,F,Bronze,105044.5,53116.5,24.5,165.0,56.5,2002.0
Table Tennis Women's Team,Summer,F,Bronze,104131.0,52685.0,27.0,158.0,55.0,2012.0
Taekwondo Women's Featherweight,Summer,F,Bronze,144776.0,72646.5,22.5,173.5,57.0,2010.0
Taekwondo Women's Flyweight,Summer,F,Bronze,103264.0,52144.5,21.0,166.5,49.0,2010.0
Taekwondo Women's Heavyweight,Summer,F,Bronze,65556.5,33541.0,24.0,177.5,72.0,2010.0
Taekwondo Women's Welterweight,Summer,F,Bronze,128420.0,64654.5,23.5,175.0,67.0,2010.0
Tennis Mixed Doubles,Summer,F,Bronze,148701.0,74856.0,34.5,171.0,63.5,2014.0
Tennis Women's Doubles,Summer,F,Bronze,208644.5,104736.0,25.0,171.0,59.5,1998.0
Tennis Women's Singles,Summer,F,Bronze,154532.5,77566.0,23.0,175.5,61.5,1998.0
Trampolining Women's Individual,Summer,F,Bronze,100079.0,50641.0,23.0,160.0,50.0,2008.0
Triathlon Women's Olympic Distance,Summer,F,Bronze,157459.0,79060.0,29.0,166.0,56.0,2008.0
Volleyball Women's Volleyball,Summer,F,Bronze,136155.0,68491.0,25.0,179.0,70.0,1992.0
Water Polo Women's Water Polo,Summer,F,Bronze,148335.5,74448.5,25.0,175.0,70.0,2008.0
Weightlifting Women's Featherweight,Summer,F,Bronze,173442.0,87157.0,26.0,155.0,53.0,2008.0
Weightlifting Women's Flyweight,Summer,F,Bronze,160584.0,80571.0,24.0,147.0,48.0,2008.0
Weightlifting Women's Heavyweight,Summer,F,Bronze,191617.0,96202.0,26.0,166.0,75.0,2008.0
Weightlifting Women's Light-Heavyweight,Summer,F,Bronze,147709.0,74119.0,22.0,161.0,69.0,2008.0
Weightlifting Women's Lightweight,Summer,F,Bronze,129214.0,65044.0,24.0,153.0,58.0,2008.0
Weightlifting Women's Middleweight,Summer,F,Bronze,117007.0,59247.0,26.0,160.0,63.0,2008.0
Weightlifting Women's Super-Heavyweight,Summer,F,Bronze,117565.0,59501.0,22.0,175.0,122.0,2008.0
"Wrestling Women's Featherweight, Freestyle",Summer,F,Bronze,187160.5,94011.5,28.5,162.0,57.0,2016.0
"Wrestling Women's Flyweight, Freestyle",Summer,F,Bronze,159929.0,80252.0,25.0,154.0,48.0,2012.0
"Wrestling Women's Heavyweight, Freestyle",Summer,F,Bronze,148843.0,74654.0,29.0,174.0,72.0,2012.0
"Wrestling Women's Light-Heavyweight, Freestyle",Summer,F,Bronze,153110.0,77052.0,26.5,170.5,71.0,2016.0
"Wrestling Women's Lightweight, Freestyle",Summer,F,Bronze,197415.0,99114.0,27.0,162.0,58.0,2012.0
"Wrestling Women's Middleweight, Freestyle",Summer,F,Bronze,159243.0,79929.0,24.0,165.0,63.0,2012.0
