NOC,Name,Sex,Age,Height,Weight,Season,Year,Sport,Event,Medal
GER,Tobias Angerer,M,32.0,179.0,72.0,Winter,2010,Cross Country Skiing,Cross Country Skiing Men's 30 km Skiathlon,Silver
ESP,Miguel ngel Angulo Valderrey,M,23.0,175.0,70.0,Summer,2000,Football,Football Men's Football,Silver
NGR,Victor Chinedu Anichebe,M,20.0,192.0,94.0,Summer,2008,Football,Football Men's Football,Silver
IRI,Sajjad Anoushiravani Hamlabad,M,28.0,192.0,105.0,Summer,2012,Weightlifting,Weightlifting Men's Super-Heavyweight,Silver
URS,Aleksandre Anp'ilogovi,M,26.0,203.0,96.0,Summer,1980,Handball,Handball Men's Handball,Silver
SUI,Michel Ansermet,M,35.0,178.0,72.0,Summer,2000,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",Silver
USA,"Michael E. ""Mike"" Anti",M,40.0,173.0,73.0,Summer,2004,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",Silver
ITA,Salvatore Antibo,M,26.0,170.0,52.0,Summer,1988,Athletics,"Athletics Men's 10,000 metres",Silver
IND,"Joseph Anthony ""Joe"" Antic",M,29.0,168.0,59.0,Summer,1960,Hockey,Hockey Men's Hockey,Silver
ITA,Michele Antonioli,M,25.0,171.0,69.0,Winter,2002,Short Track Speed Skating,"Short Track Speed Skating Men's 5,000 metres Relay",Silver
ITA,Oleg Antonov,M,28.0,198.0,88.0,Summer,2016,Volleyball,Volleyball Men's Volleyball,Silver
RUS,Vladislav Nikolayevich Antonov,M,22.0,179.0,80.0,Winter,2014,Luge,Luge Mixed Team Relay,Silver
URS,Yaroslav Viktorovich Antonov,M,25.0,198.0,95.0,Summer,1988,Volleyball,Volleyball Men's Volleyball,Silver
SWE,Hans Bertil Augustin Antonsson,M,27.0,187.0,100.0,Summer,1948,Wrestling,"Wrestling Men's Heavyweight, Freestyle",Silver
SWE,Hans Bertil Augustin Antonsson,M,30.0,187.0,100.0,Summer,1952,Wrestling,"Wrestling Men's Heavyweight, Freestyle",Silver
PAK,Saeed Anwar,M,20.0,170.0,71.0,Summer,1964,Hockey,Hockey Men's Hockey,Silver
PAK,Saeed Anwar,M,28.0,170.0,71.0,Summer,1972,Hockey,Hockey Men's Hockey,Silver
NGR,Onyekachi Apam,M,21.0,180.0,79.0,Summer,2008,Football,Football Men's Football,Silver
NOR,Knut Tore Apeland,M,23.0,174.0,67.0,Winter,1992,Nordic Combined,Nordic Combined Men's Team,Silver
NOR,Knut Tore Apeland,M,25.0,174.0,67.0,Winter,1994,Nordic Combined,Nordic Combined Men's Team,Silver
BUL,Stoyan Ivanov Apostolov,M,26.0,170.0,69.0,Summer,1972,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",Silver
FRA,Claude Henri Ferdinand Dalmas Arabo,M,27.0,178.0,73.0,Summer,1964,Fencing,"Fencing Men's Sabre, Individual",Silver
CUB,Lorenzo Aragon Armenteros,M,30.0,163.0,69.0,Summer,2004,Boxing,Boxing Men's Welterweight,Silver
CUB,Yosvany Aragn Rodrguez,M,26.0,186.0,92.0,Summer,2000,Baseball,Baseball Men's Baseball,Silver
ESP,Daniel Aranzubia Aguado,M,20.0,184.0,75.0,Summer,2000,Football,Football Men's Football,Silver
FRA,Ren Araou,M,21.0,178.0,98.0,Summer,1924,Rugby,Rugby Men's Rugby,Silver
YUG,Franjo Arapovi,M,23.0,211.0,120.0,Summer,1988,Basketball,Basketball Men's Basketball,Silver
CRO,Franjo Arapovi,M,27.0,211.0,120.0,Summer,1992,Basketball,Basketball Men's Basketball,Silver
URS,Magomedkhan Suleymanovich Aratsilov,M,29.0,180.0,82.0,Summer,1980,Wrestling,"Wrestling Men's Middleweight, Freestyle",Silver
ESP,Eduard Arbs Borras,M,25.0,174.0,70.0,Summer,2008,Hockey,Hockey Men's Hockey,Silver
ESP,Jaime Arbs Serra,M,28.0,170.0,64.0,Summer,1980,Hockey,Hockey Men's Hockey,Silver
ESP,Juan Arbs Perarnau,M,27.0,170.0,72.0,Summer,1980,Hockey,Hockey Men's Hockey,Silver
ESP,Fernando Arcega Aperte,M,23.0,204.0,96.0,Summer,1984,Basketball,Basketball Men's Basketball,Silver
CAN,"David John ""Dave"" Archibald",M,22.0,187.0,88.0,Winter,1992,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
ITA,Angelo Arcidiacono,M,20.0,174.0,74.0,Summer,1976,Fencing,"Fencing Men's Sabre, Team",Silver
ITA,Alessandro Argenton,M,35.0,172.0,63.0,Summer,1972,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",Silver
BLR,Magomed Davudovich Aripgadzhiyev,M,26.0,185.0,81.0,Summer,2004,Boxing,Boxing Men's Light-Heavyweight,Silver
URS,Vasyl Albertovych Arkhypenko,M,23.0,178.0,65.0,Summer,1980,Athletics,Athletics Men's 400 metres Hurdles,Silver
AUS,Duncan John D'Arcy Armstrong,M,20.0,187.0,74.0,Summer,1988,Swimming,Swimming Men's 400 metres Freestyle,Silver
ESP,Jorge Jordi Arnau Creus,M,26.0,170.0,66.0,Summer,1996,Hockey,Hockey Men's Hockey,Silver
ESP,"Javier ""Xavi"" Arnau Creus",M,23.0,176.0,76.0,Summer,1996,Hockey,Hockey Men's Hockey,Silver
CAN,"Donald John ""Don"" Arnold",M,25.0,178.0,83.0,Summer,1960,Rowing,Rowing Men's Coxed Eights,Silver
ESP,Jordi Arrese Casta,M,27.0,175.0,74.0,Summer,1992,Tennis,Tennis Men's Singles,Silver
URS,Vladimir Nikolayevich Artyomov,M,23.0,167.0,63.0,Summer,1988,Gymnastics,Gymnastics Men's Floor Exercise,Silver
ARM,Migran Arutyunyan,M,27.0,166.0,67.0,Summer,2016,Wrestling,"Wrestling Men's Welterweight, Greco-Roman",Silver
URS,Yevhen Oleksandrovych Arzhanov,M,24.0,179.0,68.0,Summer,1972,Athletics,Athletics Men's 800 metres,Silver
JPN,Nobuharu Asahara,M,36.0,179.0,76.0,Summer,2008,Athletics,Athletics Men's 4 x 100 metres Relay,Silver
USA,Kevin Yoshimi Asano,M,25.0,162.0,60.0,Summer,1988,Judo,Judo Men's Extra-Lightweight,Silver
KEN,Charles Asati,M,22.0,178.0,68.0,Summer,1968,Athletics,Athletics Men's 4 x 400 metres Relay,Silver
FIN,Marko Tapio Asell,M,26.0,179.0,82.0,Summer,1996,Wrestling,"Wrestling Men's Welterweight, Greco-Roman",Silver
ISL,Sturla sgeirsson,M,28.0,182.0,80.0,Summer,2008,Handball,Handball Men's Handball,Silver
PAK,Mudassar Asghar Saeed,M,24.0,176.0,74.0,Summer,1972,Hockey,Hockey Men's Hockey,Silver
AUS,Glenn Ashby,M,30.0,170.0,76.0,Summer,2008,Sailing,Sailing Mixed Multihull,Silver
