sno,ID,Name,Sex,Age,Height,Weight,Country,NOC,Games,Year,Season,City,Sport,Event,Medal
221604,111374,Cornelia Sirch (Embacher-),F,21.0,176.0,70.0,Germany,GDR,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Women's 200 metres Backstroke,Bronze
221673,111409,Saija Katariina Sirvi-Tarkki,F,27.0,172.0,60.0,Finland,FIN,2010 Winter,2010,Winter,Vancouver,Ice Hockey,Ice Hockey Women's Ice Hockey,Bronze
221725,111439,Beta Siti,F,22.0,174.0,67.0,Hungary,HUN,1996 Summer,1996,Summer,Atlanta,Handball,Handball Women's Handball,Bronze
221765,111462,Hanna Oleksandrivna Siukalo,F,27.0,175.0,61.0,Ukraine,UKR,2004 Summer,2004,Summer,Athina,Handball,Handball Women's Handball,Bronze
221812,111488,"Janet Theresa ""Jane"" Sixsmith (-Beeton)",F,24.0,161.0,58.0,UK,GBR,1992 Summer,1992,Summer,Barcelona,Hockey,Hockey Women's Hockey,Bronze
221846,111501,Maria Johanna Sjberg,F,22.0,178.0,66.0,Sweden,SWE,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze
221908,111525,Eva Therese Sjlander,F,20.0,173.0,69.0,Sweden,SWE,2002 Winter,2002,Winter,Salt Lake City,Ice Hockey,Ice Hockey Women's Ice Hockey,Bronze
221927,111534,Lala Valborg Sjqvist (-Larsson),F,24.0,,,Sweden,SWE,1928 Summer,1928,Summer,Amsterdam,Diving,Diving Women's Platform,Bronze
221949,111543,Sarah Frederica Sjstrm,F,22.0,182.0,76.0,Sweden,SWE,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 100 metres Freestyle,Bronze
221984,111562,Tetiana Viktorivna Skachko (Pakhovska-),F,25.0,165.0,60.0,Russia,URS,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Women's Long Jump,Bronze
222002,111575,Oksana Valentynivna Skaldina (-Svatkovskiy),F,20.0,,,Russia,EUN,1992 Summer,1992,Summer,Barcelona,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Individual,Bronze
222058,111598,Nadezhda Valeryevna Skardino,F,28.0,160.0,49.0,Belarus,BLR,2014 Winter,2014,Winter,Sochi,Biathlon,Biathlon Women's 15 kilometres,Bronze
222061,111599,Bente Skari-Martinsen,F,25.0,173.0,63.0,Norway,NOR,1998 Winter,1998,Winter,Nagano,Cross Country Skiing,Cross Country Skiing Women's 5 kilometres,Bronze
222066,111599,Bente Skari-Martinsen,F,29.0,173.0,63.0,Norway,NOR,2002 Winter,2002,Winter,Salt Lake City,Cross Country Skiing,Cross Country Skiing Women's 30 kilometres,Bronze
222167,111639,Gergina Skerlatova,F,22.0,182.0,63.0,Bulgaria,BUL,1976 Summer,1976,Summer,Montreal,Basketball,Basketball Women's Basketball,Bronze
222193,111655,"Melanie Skillman (Soltysik-, -Hull)",F,33.0,155.0,59.0,USA,USA,1988 Summer,1988,Summer,Seoul,Archery,Archery Women's Team,Bronze
222248,111676,Ann Elen Skjelbreid,F,26.0,171.0,58.0,Norway,NOR,1998 Winter,1998,Winter,Nagano,Biathlon,Biathlon Women's 4 x 7.5 kilometres Relay,Bronze
222255,111677,Liv Grete Skjelbreid-Poire,F,23.0,167.0,58.0,Norway,NOR,1998 Winter,1998,Winter,Nagano,Biathlon,Biathlon Women's 4 x 7.5 kilometres Relay,Bronze
222395,111723,Yuliya Igorevna Skokova,F,31.0,175.0,71.0,Russia,RUS,2014 Winter,2014,Winter,Sochi,Speed Skating,Speed Skating Women's Team Pursuit (6 laps),Bronze
