NOC,Name,Sex,Age,Height,Weight,Season,Year,Sport,Event,Medal
RUS,Yelena Nikolayevna Batukhtina-Tyurina,F,33.0,184.0,82.0,Summer,2004,Volleyball,Volleyball Women's Volleyball,Silver
RUS,"Yanina Farkhadovna ""Yana"" Batyrshina",F,16.0,163.0,47.0,Summer,1996,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Individual,Silver
BLR,Anna Yevgenyevna Batyushko,F,22.0,164.0,69.0,Summer,2004,Weightlifting,Weightlifting Women's Middleweight,Silver
FRG,Sabine Christiane Bau,F,19.0,180.0,66.0,Summer,1988,Fencing,"Fencing Women's Foil, Individual",Silver
GER,Sabine Christiane Bau,F,23.0,180.0,66.0,Summer,1992,Fencing,"Fencing Women's Foil, Team",Silver
GER,Viola Bauer,F,29.0,167.0,61.0,Winter,2006,Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay,Silver
SUI,Daniela Baumer (-Tenger),F,24.0,168.0,65.0,Summer,1996,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Silver
USA,"Dorothy Lee ""Dotsie"" Bausch (Cowden-)",F,39.0,175.0,59.0,Summer,2012,Cycling,Cycling Women's Team Pursuit,Silver
FRA,Myriam milie Baverel,F,23.0,174.0,70.0,Summer,2004,Taekwondo,Taekwondo Women's Heavyweight,Silver
USA,Amanda Ray Beard (-Brown),F,14.0,173.0,59.0,Summer,1996,Swimming,Swimming Women's 100 metres Breaststroke,Silver
USA,Amanda Ray Beard (-Brown),F,14.0,173.0,59.0,Summer,1996,Swimming,Swimming Women's 200 metres Breaststroke,Silver
USA,Amanda Ray Beard (-Brown),F,22.0,173.0,59.0,Summer,2004,Swimming,Swimming Women's 200 metres Individual Medley,Silver
USA,Amanda Ray Beard (-Brown),F,22.0,173.0,59.0,Summer,2004,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Silver
USA,Jeanne Marie Beauprey (-Reeves),F,23.0,183.0,70.0,Summer,1984,Volleyball,Volleyball Women's Volleyball,Silver
USA,Robin Mary Beauregard,F,21.0,175.0,81.0,Summer,2000,Water Polo,Water Polo Women's Water Polo,Silver
FRA,Sylvie Becaert,F,34.0,166.0,54.0,Winter,2010,Biathlon,Biathlon Women's 4 x 6 kilometres Relay,Silver
EUN,"Yelena Yuryevna Bechke (-Petrova, -Ellis)",F,26.0,158.0,48.0,Winter,1992,Figure Skating,Figure Skating Mixed Pairs,Silver
GER,Britta Christiane Becker (-Kerner),F,19.0,176.0,65.0,Summer,1992,Hockey,Hockey Women's Hockey,Silver
USA,Carolyn Marie Becker,F,25.0,183.0,79.0,Summer,1984,Volleyball,Volleyball Women's Volleyball,Silver
FRG,Marion Becker (Steiner-),F,26.0,167.0,63.0,Summer,1976,Athletics,Athletics Women's Javelin Throw,Silver
GDR,Sabine Becker,F,20.0,173.0,59.0,Winter,1980,Speed Skating,"Speed Skating Women's 3,000 metres",Silver
GER,Stephanie Beckert,F,21.0,172.0,73.0,Winter,2010,Speed Skating,"Speed Skating Women's 3,000 metres",Silver
GER,Stephanie Beckert,F,21.0,172.0,73.0,Winter,2010,Speed Skating,"Speed Skating Women's 5,000 metres",Silver
AUS,Amber Gerganiya Beckitt (-Shelley),F,19.0,162.0,59.0,Summer,1960,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Silver
ROU,Violeta Beclea-Szekely,F,35.0,169.0,52.0,Summer,2000,Athletics,"Athletics Women's 1,500 metres",Silver
BRA,gatha Bednarczuk Rippel,F,33.0,182.0,70.0,Summer,2016,Beach Volleyball,Beach Volleyball Women's Beach Volleyball,Silver
SUI,Binia Beeli (-Feltscher),F,27.0,175.0,62.0,Winter,2006,Curling,Curling Women's Curling,Silver
BRA,Adriana Brando Behar,F,31.0,180.0,64.0,Summer,2000,Beach Volleyball,Beach Volleyball Women's Beach Volleyball,Silver
BRA,Adriana Brando Behar,F,35.0,180.0,64.0,Summer,2004,Beach Volleyball,Beach Volleyball Women's Beach Volleyball,Silver
GER,Petra Behle-Schaaf,F,23.0,177.0,67.0,Winter,1992,Biathlon,Biathlon Women's 3 x 7.5 kilometres Relay,Silver
GER,Petra Behle-Schaaf,F,25.0,177.0,67.0,Winter,1994,Biathlon,Biathlon Women's 4 x 7.5 kilometres Relay,Silver
