Event,Season,Sex,Medal,sno,ID,Age,Height,Weight,Year
Gymnastics Men's Floor Exercise,Summer,M,Bronze,142799.0,71644.0,22.0,165.0,62.0,1988.0
Gymnastics Men's Horizontal Bar,Summer,M,Bronze,114137.0,57808.0,24.0,169.0,62.0,1988.0
Gymnastics Men's Horse Vault,Summer,M,Bronze,179777.5,90370.5,23.0,166.0,64.0,1984.0
Gymnastics Men's Individual All-Around,Summer,M,Bronze,167940.0,84381.0,24.0,167.0,64.0,1984.0
Gymnastics Men's Parallel Bars,Summer,M,Bronze,154688.0,77664.5,24.0,167.5,60.0,1986.0
Gymnastics Men's Pommelled Horse,Summer,M,Bronze,171669.0,86255.0,22.5,169.0,64.5,1982.0
Gymnastics Men's Rings,Summer,M,Bronze,177430.0,89187.0,24.0,163.0,62.0,1984.0
Gymnastics Men's Rope Climbing,Summer,M,Bronze,97182.0,49185.0,24.0,167.0,56.0,1896.0
Gymnastics Men's Team All-Around,Summer,M,Bronze,145069.5,72810.5,24.0,167.0,62.0,1980.0
Handball Men's Handball,Summer,M,Bronze,142708.0,71601.0,27.0,190.0,92.0,1992.0
Hockey Men's Hockey,Summer,M,Bronze,125801.5,63484.5,25.0,177.5,75.0,1988.0
Ice Hockey Men's Ice Hockey,Winter,M,Bronze,133297.0,67095.0,26.0,182.0,84.0,1988.0
Judo Men's Extra-Lightweight,Summer,M,Bronze,165520.0,83123.5,23.0,166.0,60.0,1998.0
Judo Men's Half-Heavyweight,Summer,M,Bronze,165096.5,82904.0,28.0,187.0,95.0,1994.0
Judo Men's Half-Lightweight,Summer,M,Bronze,94873.5,48027.0,25.0,169.5,66.0,1998.0
Judo Men's Half-Middleweight,Summer,M,Bronze,140196.0,70384.0,25.0,178.0,81.0,1996.0
Judo Men's Heavyweight,Summer,M,Bronze,123919.5,62585.0,25.0,192.0,120.0,1992.0
Judo Men's Lightweight,Summer,M,Bronze,170939.0,85885.5,25.0,173.5,71.5,1992.0
Judo Men's Middleweight,Summer,M,Bronze,111997.0,56689.0,25.0,179.5,86.0,1992.0
Judo Men's Open Class,Summer,M,Bronze,94426.5,47826.5,24.5,184.0,107.0,1976.0
Luge Men's Singles,Winter,M,Bronze,197204.0,99022.5,25.0,180.5,84.0,1990.0
Luge Mixed (Men)'s Doubles,Winter,M,Bronze,167202.0,83997.0,27.0,178.0,82.0,1992.0
Luge Mixed Team Relay,Winter,M,Bronze,219318.0,110173.0,30.0,180.0,90.0,2014.0
Modern Pentathlon Men's Individual,Summer,M,Bronze,134661.0,67759.0,27.0,180.0,72.0,1984.0
Modern Pentathlon Men's Team,Summer,M,Bronze,139028.0,69874.0,26.0,180.0,71.5,1972.0
Nordic Combined Men's Individual,Winter,M,Bronze,230986.5,115923.5,24.0,177.5,68.0,1986.0
"Nordic Combined Men's Large Hill / 10 km, Individual",Winter,M,Bronze,142974.5,72015.5,25.0,178.5,66.5,2012.0
"Nordic Combined Men's Normal Hill / 10 km, Individual",Winter,M,Bronze,189671.0,95256.0,20.0,165.0,61.0,2010.0
Nordic Combined Men's Sprint,Winter,M,Bronze,89055.0,45158.5,26.5,179.0,66.0,2004.0
Nordic Combined Men's Team,Winter,M,Bronze,119805.0,60661.0,24.0,180.0,67.0,2002.0
Rowing Men's Coxed Eights,Summer,M,Bronze,155229.5,77914.5,25.5,191.0,90.0,1988.0
Rowing Men's Coxed Fours,Summer,M,Bronze,171006.0,85942.0,24.0,187.0,89.0,1972.0
Rowing Men's Coxed Pairs,Summer,M,Bronze,162555.0,81600.0,26.0,186.0,83.0,1972.0
Rowing Men's Coxless Fours,Summer,M,Bronze,136835.0,68792.0,25.0,191.0,89.0,1984.0
Rowing Men's Coxless Pairs,Summer,M,Bronze,149467.5,75024.0,25.0,190.0,87.0,1980.0
Rowing Men's Double Sculls,Summer,M,Bronze,182617.0,91780.0,26.5,190.0,87.0,1986.0
Rowing Men's Lightweight Coxless Fours,Summer,M,Bronze,60979.5,31241.5,28.0,184.5,73.0,2006.0
Rowing Men's Lightweight Double Sculls,Summer,M,Bronze,196233.0,98510.0,27.0,182.0,71.0,2006.0
Rowing Men's Quadruple Sculls,Summer,M,Bronze,103232.0,52213.5,25.0,192.0,92.0,1996.0
Rowing Men's Single Sculls,Summer,M,Bronze,116315.0,58877.0,29.0,187.0,88.0,1980.0
Rugby Sevens Men's Rugby Sevens,Summer,M,Bronze,122795.0,62067.0,27.0,179.0,90.0,2016.0
Sailing Men's One Person Dinghy,Summer,M,Bronze,155625.0,78120.0,30.0,183.0,92.0,2004.0
Sailing Men's One Person Heavyweight Dinghy,Summer,M,Bronze,160799.0,80761.5,26.0,193.0,99.0,2014.0
Sailing Men's Skiff,Summer,M,Bronze,152820.0,76831.5,27.0,183.0,80.0,2014.0
Sailing Men's Two Person Dinghy,Summer,M,Bronze,130328.0,65632.0,25.5,179.5,71.5,2002.0
Sailing Men's Two Person Keelboat,Summer,M,Bronze,194506.0,97653.0,37.0,188.0,100.0,2008.0
Sailing Men's Windsurfer,Summer,M,Bronze,127530.0,64351.0,23.5,178.5,70.0,2002.0
Sailing Mixed 5.5 metres,Summer,M,Bronze,93195.0,47211.5,34.5,181.5,82.0,1964.0
Sailing Mixed 6 metres,Summer,M,Bronze,221870.0,111506.0,55.0,167.0,65.0,1952.0
Sailing Mixed Multihull,Summer,M,Bronze,83122.0,42226.0,30.0,182.0,73.0,1992.0
Sailing Mixed One Person Dinghy,Summer,M,Bronze,151440.0,76011.0,27.0,185.0,86.0,1980.0
Sailing Mixed Skiff,Summer,M,Bronze,154712.0,77670.5,29.0,179.0,73.5,2004.0
Sailing Mixed Three Person Keelboat,Summer,M,Bronze,88001.0,44600.0,31.5,183.0,83.5,1976.0
Sailing Mixed Two Person Dinghy,Summer,M,Bronze,187064.5,93999.5,24.5,176.0,67.5,1980.0
Sailing Mixed Two Person Heavyweight Dinghy,Summer,M,Bronze,90338.5,45861.0,30.0,180.0,78.0,1974.0
Sailing Mixed Two Person Keelboat,Summer,M,Bronze,82764.0,42048.0,34.0,183.5,88.0,1976.0
Sailing Mixed Windsurfer,Summer,M,Bronze,77409.0,39277.0,22.0,170.0,67.0,1988.0
"Shooting Men's Air Pistol, 10 metres",Summer,M,Bronze,150620.0,75916.0,33.0,178.0,84.0,2002.0
"Shooting Men's Air Rifle, 10 metres",Summer,M,Bronze,88556.0,44904.0,30.0,176.0,74.0,2000.0
Shooting Men's Double Trap,Summer,M,Bronze,189696.5,95226.5,30.5,179.0,78.5,2006.0
"Shooting Men's Free Pistol, 50 metres",Summer,M,Bronze,205572.5,103289.5,28.0,174.5,76.0,1990.0
"Shooting Men's Free Rifle, Three Positions, 300 metres",Summer,M,Bronze,86591.0,43917.0,37.0,170.0,85.0,1960.0
"Shooting Men's Rapid-Fire Pistol, 25 metres",Summer,M,Bronze,181588.0,91201.5,27.5,175.0,76.0,1994.0
"Shooting Men's Running Target, 10 metres",Summer,M,Bronze,158493.5,79588.5,27.0,177.5,80.0,1998.0
"Shooting Men's Running Target, 50 metres",Summer,M,Bronze,55657.5,28390.5,22.0,172.0,67.5,1986.0
Shooting Men's Skeet,Summer,M,Bronze,51292.0,26271.0,37.0,179.0,82.5,2006.0
"Shooting Men's Small-Bore Rifle, Prone, 50 metres",Summer,M,Bronze,132407.5,66725.0,33.0,178.0,78.0,1990.0
"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",Summer,M,Bronze,155888.0,78500.0,29.0,176.5,79.0,1994.0
Shooting Men's Trap,Summer,M,Bronze,126164.0,63584.5,32.5,176.5,84.0,2002.0
"Shooting Men's Trap, Team",Summer,M,Bronze,136552.5,68790.0,30.0,181.0,102.5,1924.0
"Shooting Mixed Free Pistol, 50 metres",Summer,M,Bronze,58789.5,30112.0,27.0,180.0,74.0,1974.0
"Shooting Mixed Free Rifle, Three Positions, 300 metres",Summer,M,Bronze,173536.5,87192.0,31.0,181.0,77.5,1970.0
"Shooting Mixed Rapid-Fire Pistol, 25 metres",Summer,M,Bronze,209540.0,105205.5,27.5,176.5,71.5,1974.0
"Shooting Mixed Running Target, 50 metres",Summer,M,Bronze,84204.0,42786.0,34.0,178.0,76.0,1976.0
Shooting Mixed Skeet,Summer,M,Bronze,85719.0,43466.0,25.0,174.0,75.0,1980.0
"Shooting Mixed Small-Bore Rifle, Prone, 50 metres",Summer,M,Bronze,174598.0,87644.0,32.0,178.5,74.5,1974.0
